"label","name","lobe"
0,"Background","Background"
1,"Frontal Pole","Frontal"
2,"Insular Cortex","Insular"
3,"Superior Frontal Gyrus","Frontal"
4,"Middle Frontal Gyrus","Frontal"
5,"Inferior Frontal Gyrus, pars triangularis","Frontal"
6,"Inferior Frontal Gyrus, pars opercularis","Frontal"
7,"Precentral Gyrus","Frontal"
8,"Temporal Pole","Temporal"
9,"Superior Temporal Gyrus, anterior division","Temporal"
10,"Superior Temporal Gyrus, posterior division","Temporal"
11,"Middle Temporal Gyrus, anterior division","Temporal"
12,"Middle Temporal Gyrus, posterior division","Temporal"
13,"Middle Temporal Gyrus, temporooccipital part","Temporal"
14,"Inferior Temporal Gyrus, anterior division","Temporal"
15,"Inferior Temporal Gyrus, posterior division","Temporal"
16,"Inferior Temporal Gyrus, temporooccipital part","Temporal"
17,"Postcentral Gyrus","Parietal"
18,"Superior Parietal Lobule","Parietal"
19,"Supramarginal Gyrus, anterior division","Parietal"
20,"Supramarginal Gyrus, posterior division","Parietal"
21,"Angular Gyrus","Parietal"
22,"Lateral Occipital Cortex, superior division","Occipital"
23,"Lateral Occipital Cortex, inferior division","Occipital"
24,"Intracalcarine Cortex","Occipital"
25,"Frontal Medial Cortex","Frontal"
26,"Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex)","Frontal"
27,"Subcallosal Cortex","Limbic"
28,"Paracingulate Gyrus","Frontal"
29,"Cingulate Gyrus, anterior division","Limbic"
30,"Cingulate Gyrus, posterior division","Limbic"
31,"Precuneous Cortex","Parietal"
32,"Cuneal Cortex","Parietal"
33,"Frontal Orbital Cortex","Frontal"
34,"Parahippocampal Gyrus, anterior division","Limbic"
35,"Parahippocampal Gyrus, posterior division","Limbic"
36,"Lingual Gyrus","Occipital"
37,"Temporal Fusiform Cortex, anterior division","Temporal"
38,"Temporal Fusiform Cortex, posterior division","Temporal"
39,"Temporal Occipital Fusiform Cortex","Temporal"
40,"Occipital Fusiform Gyrus","Occipital"
41,"Frontal Operculum Cortex","Frontal"
42,"Central Opercular Cortex","Parietal"
43,"Parietal Operculum Cortex","Parietal"
44,"Planum Polare","Temporal"
45,"Heschl's Gyrus (includes H1 and H2)","Temporal"
46,"Planum Temporale","Temporal"
47,"Supracalcarine Cortex","Occipital"
48,"Occipital Pole","Occipital"
